DATE; PX_LAST;PX_CLOSE_1D;CF_CASH_FROM_OPER;EXPLORATION_COST;FINDING_COST_BOE;BS_LT_BORROW;CAPEX_TO_TOTAL_ASSETS;E&P_CAPITAL_EXPENDITURES;CAPITAL_EXPEND;SUCCESS_RATE;PRODUCTIVE_GAS_WELLS_GROSS;PRODUCTIVE_OIL_WELLS_GROSS;DEVEL_WELLS_DRILLED_NET_US;EXPLOR_WELLS_DRILLED_NET_US;PRODUCTIVE_OIL_WELLS_NET_US;PRODUCTIVE_OIL_WELLS_GROSS_US;DEVEL_WELLS_DRILLED_GROSS_US;PRODUCTIVE_GAS_WELLS_NET_US;PRODUCTIVE_GAS_WELLS_GROSS_US;EXPLOR_WELLS_DRILLED_NET;DEVEL_WELLS_DRILLED_NET;PRODUCTIVE_GAS_WELLS_NET;PRODUCTIVE_OIL_WELLS_NET;NET_DEVELOPED_ACREAGE_US;GROSS_DEVELOPED_ACREAGE_US;NET_UNDEVELOPED_ACREAGE_US;GROSS_DEVELOPED_ACREAGE;GROSS_UNDEVELOPED_ACREAGE;NET_UNDEVELOPED_ACREAGE;NET_DEVELOPED_ACREAGE;RESERVE_REPLACEMENT_BOE;OIL_RESERVES_END_YEAR_WORLDWIDE;OIL_RESERVES_END_YR_US;GAS_END_YEAR_WORLD;GAS_RESERVES_END_YR_US;OIL_PRODUCTION_WORLD_MBBL_DY;OIL_PRODUCTION_US_MBBL_DY;GAS_PRODUCTION_WORLD_MMCF_DY;GAS_PRODUCTION_US_MMCF_DY;BOE_END_YEAR_WORLD;BOE_RESERVES_END_YR_US;TOTAL_PRODUCTION_MMBOE;DAILY_PROD_MBOE_US;TOTAL_PRODUCTION_WORLD_MBOE_DY;Dummy;;Tick
#NAVN?;14,8683;13,4294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
31.12.1986;13,1896;14,8683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1987;11,6908;13,1896;2010;;;6422;;;-613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
30.12.1988;12,1704;11,6908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1988;;;1736;;;7688;;;-1193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
29.12.1989;14,2088;12,1704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1989;;;1609;;;8217;;;-1388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1990;8,8131;14,2088;1528;;;7492;;;-1321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1991;8,5733;8,8131;727;;;5925;;;-1068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1992;8,1536;8,5733;550;;;5806;;;-860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1993;8,1536;8,1536;608;;;6047;;;-1083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
30.12.1994;9,2327;8,1536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1994;;;760;;;6114;;;-1103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
29.12.1995;10,2519;9,2327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1995;;;1501;;;4819;;;-979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1996;11,2112;10,2519;1987;;;4511;;;-1038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1997;14,0589;11,2112;1397;;;4925;;;-1549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1998;8,0936;14,0589;80;140;2,8283;5367;4,9239;751;-1074;91,7258;;;;;;;;;;3,1;268,5;;;;;;;;;;243,2143;;;2336;1898;321;;703;;1538,333;761,33;159,9308;183,333;438,1667;0;TG;OXY 
31.12.1999;10,3718;8,0936;1044;103;2,1384;4368;;;-618;92,6906;2161;4790;90,2;1;3064;3765;;1762;2128;1;205,7;1775;3711;1365;2458;669;15172;19269;10843;7430;53,8049;;;1892;1806;306,4;73,973;714;663,0137;1352,3333;765;155,271;184,4753;425,4;0;TG;OXY 
29.12.2000;11,6309;10,3718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.2000;;;2401;134;2,4512;5185;;;-952;93,4103;2254;15030;310,2;1,6;8754;13943;;1890;2222;2,9;442,2;1903;9332;1870;3625;1267;18973;19688;10144;9433;587,0168;;;2210;2094;343;172,603;708;660,274;2171,3333;1695;168,726;282,6487;461;0;TG;OXY 
