Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
1985;HES;;;;;;;;;;
1986;HES;-0,137470991;-0,137470991;;;;;;;;
1987;HES;0,046280753;0,046280753;;;;;;;;
1988;HES;0,236124263;0,236124263;;;;;;;;
1989;HES;0,436717652;0,436717652;;;;;;;;
1990;HES;-0,049944677;-0,049944677;;;;;;;;
1991;HES;0,02396919;0,02396919;;;;;;;;
1992;HES;-0,032088315;-0,032088315;;;;;;;;
1993;HES;-0,01920498;-0,01920498;;;;;;;;
1994;HES;0,011019395;0,011019395;;;;;;;;
1995;HES;0,149836102;0,149836102;;;;;;;;
1996;HES;0,087993599;0,087993599;;;;;;;;
1997;HES;-0,053227641;-0,053227641;;;;;;;;
1998;HES;-0,098047408;-0,098047408;;;;;;;;
1999;HES;0,131645193;0,131645193;;;;;;;;
2000;HES;0,252659583;0,252659583;0,06601381;0,106888984;0,106869542;;;-0,025070951;0,073104258;0,073056542
2001;HES;-0,156148682;-0,156148682;-0,004926118;0,133316593;0,133256426;;;0,30342492;0,220529171;0,22056915
2002;HES;-0,126924694;-0,126924694;-0,106733199;-0,180818927;-0,180787718;;;-0,151089306;-0,1998566;-0,199831485
2003;HES;-0,034747536;-0,034747536;-0,005509656;-0,176930708;-0,176848988;;;-0,060321882;-0,191055237;-0,190981547
2004;HES;0,437848361;0,437848361;-0,139865539;-0,064395162;-0,064432871;;;0,028742469;0;1,75E-05
2005;HES;0,431426069;0,431426069;0,036651276;-0,03500941;-0,034973674;;;0,00249688;0,068786452;0,06874676
2006;HES;-0,939382946;-0,939382946;-0,006915126;0,011806513;0,011796928;0,024631787;0,184246485;0,024631787;0,184246485;0,184161042
2007;HES;0,710347605;0,710347605;0,056215624;0,195535896;0,195469935;0,078731723;0,061755204;0,078731723;0,061755204;0,061763658
2008;HES;-0,631438358;-0,631438358;0,042103971;0,097413967;0,097390224;;;0,038600639;0,091708426;0,091682451
2009;HES;0,120348307;0,120348307;0,07665041;0,037805189;0,037821727;;;0,017161665;-0,003097576;-0,00308783
2010;HES;0,235170115;0,235170115;-0,161187245;0,055752142;0,05566749;;;-0,082349514;0,132496731;0,132402771
2011;HES;-0,298277154;-0,298277154;-0,081564778;-0,009615459;-0,009639717;;;-0,069735476;0,057208735;0,057161994
2012;HES;-0,069999414;-0,069999414;0,006578971;0,084861994;0,084837509;;;-0,054273598;0,001709402;0,0016906
2013;HES;0,449303696;0,449303696;-0,094490843;-0,10931309;-0,1093086;;;-0,150164445;-0,055301496;-0,055331049
2014;HES;-0,11721091;-0,11721091;-0,188829172;0,004938282;0,004884521;;;-0,048764848;0,008089932;0,008073517
2015;HES;-0,420478356;-0,420478356;0,324273149;-0,043631081;-0,04351927;;;-0,190971298;-0,300597104;-0,300564596
1985;APA;;;;;;;;;;
1986;APA;-0,189242;-0,189242;;;;;;;;
1987;APA;-0,182321557;-0,182321557;;;;;;;;
1988;APA;0,048790164;0,048790164;;;;;;;;
1989;APA;0,84729786;0,84729786;;;;;;;;
1990;APA;-0,228258652;-0,228258652;;;;;;;;
1991;APA;0,082013152;0,082013152;;;;;;;;
1992;APA;0,166448208;0,166448208;;;;;;;;
1993;APA;0,220473323;0,220473323;;;;;;;;
1994;APA;0,06720875;0,06720875;;;;;;;;
1995;APA;0,165514438;0,165514438;;;;;;;;
1996;APA;0,174522864;0,174522864;;;;;;;;
1997;APA;-0,001795205;-0,001795205;;;;;;;;
1998;APA;-0,325819578;-0,325819578;;;;;;;;
1999;APA;0,37792895;0,37792895;;;;;;;;
2000;APA;0,640160406;0,640160406;0,352186587;0,158964075;0,159184262;0,238475301;0,232520633;0,363874327;0,229711825;0,229847206
2001;APA;-0,33976758;-0,33976758;0,184216155;0,151205645;0,151247698;0,302737748;0,248841058;0,168665305;0,137335827;0,137370141
2002;APA;0,133255693;0,133255693;0,00084738;0,006277278;0,006270265;-0,042483641;0,037832634;0,012234694;0,060491536;0,060439124
2003;APA;0,352807147;0,352807147;0,099211257;0,359584252;0,359288942;0,119198461;0,294624624;0,184457731;0,281619114;0,281520951
2004;APA;-0,472324446;-0,472324446;0,082127291;0,109891334;0,109864141;0,017376103;0,122479185;0,212084853;0,099355948;0,099470744
2005;APA;0,303767158;0,303767158;0,217051504;0,020966318;0,021175541;0,020251506;0,008203607;0,127556349;0,045994637;0,046086135
2006;APA;-0,029773361;-0,029773361;0,070656907;0,073724942;0,073721343;0,228999809;-0,041378622;0,092664221;0,083635412;0,083646006
2007;APA;0,480510559;0,480510559;0,039569231;0,086842743;0,086788658;0,122611142;0,103625471;0,046779166;0,066244939;0,066222216
2008;APA;-0,366661142;-0,366661142;0,062920606;-0,022222203;-0,022122912;-0,102070393;0,021651048;0,005612266;-0,047475701;-0,047412673
2009;APA;0,325176384;0,325176384;-0,080927672;-0,018709712;-0,018783094;0,080954255;0,090729348;-0,015400746;-0,012936367;-0,012939367
2010;APA;0,144676288;0,144676288;0,194700549;0,051505678;0,051681659;0,071284754;0,147465414;0,235581098;0,07641619;0,076625963
2011;APA;-0,274820963;-0,274820963;-0,01737177;0,002487563;0,002461628;0,180530959;0,051250885;-0,014776417;0,008643096;0,008610099
2012;APA;-0,143134813;-0,143134813;-0,069596746;0,025752496;0,025634895;0,016334737;0,037173121;-0,138597564;0,017910927;0,017709162
2013;APA;0,090550754;0,090550754;-0,169004148;-0,038252659;-0,038396752;-0,092240438;-0,017899935;-0,142755549;-0,044951388;-0,045062366
2014;APA;-0,315766514;-0,315766514;-0,215418694;-0,012951433;-0,013140537;-0,299521631;-0,078631487;-0,162284881;-0,051461767;-0,051575087
2015;APA;-0,34306806;-0,34306806;-0,285411711;-0,165508908;-0,165604134;-0,2380513;-0,092946113;-0,598098159;-0,303498089;-0,303744863
1985;CVX;;;;;;;;;;
1986;CVX;0,174091058;0,174091058;;;;;;;;
1987;CVX;-0,13550106;-0,13550106;;;;;;;;
1988;CVX;0,14373156;0,14373156;;;;;;;;
1989;CVX;0,392632668;0,392632668;;;;;;;;
1990;CVX;0,069484755;0,069484755;;;;;;;;
1991;CVX;-0,051202711;-0,051202711;;;;;;;;
1992;CVX;0,007220248;0,007220248;;;;;;;;
1993;CVX;0,226017117;0,226017117;;;;;;;;
1994;CVX;-0,669049629;-0,669049629;;;;;;;;
1995;CVX;0,160135138;0,160135138;;;;;;;;
1996;CVX;0,215957892;0,215957892;;;;;;;;
1997;CVX;0,169418152;0,169418152;;;;;;;;
1998;CVX;0,07428189;0,07428189;;;;;;;;
1999;CVX;0,043501145;0,043501145;;;;;;;;
2000;CVX;-0,025576842;-0,025576842;0,064431403;-0,016885408;-0,016856879;;;0,053323035;0,044360876;0,044363715
2001;CVX;0,059455305;0,059455305;0,597528973;0,543122836;0,543143261;;;0,709037841;0,533247822;0,533308981
2002;CVX;-0,29856577;-0,29856577;-0,039291439;-0,028897244;-0,028901232;;;-0,003871472;0,016752369;0,016744625
2003;CVX;0,261970778;0,261970778;0,104524982;0,036035276;0,036062336;;;0,043320036;-0,007992166;-0,007972599
2004;CVX;-0,497868301;-0,497868301;-0,079628686;-0,053032852;-0,053043581;;;-0,025888166;-0,075585084;-0,075565152
2005;CVX;0,07800439;0,07800439;0,146304476;0,000178555;0,000241184;;;0,174839165;0,003380708;0,003457598
2006;CVX;0,258685469;0,258685469;-0,140417503;-0,140467422;-0,140467399;;;-0,023749983;-0,024548873;-0,024548483
