Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
1985;HES;27,25;27,25;;;;;;;;
1986;HES;23,75;23,75;;;;;;;;
1987;HES;24,875;24,875;;;;;;;;
1988;HES;31,5;31,5;;;;;;;;
1989;HES;48,75;48,75;;;;;;;;
1990;HES;46,375;46,375;;;;;;;;
1991;HES;47,5;47,5;;;;;;;;
1992;HES;46;46;;;;;;;;
1993;HES;45,125;45,125;;;;;;;;
1994;HES;45,625;45,625;;;;;;;;
1995;HES;53;53;;;;;;;;
1996;HES;57,875;57,875;;;;;;;;
1997;HES;54,875;54,875;;;;;;;;
1998;HES;49,75;49,75;;;;;;;;
1999;HES;56,75;56,75;1524000;523000;523254;0;0;2181000;712000;712363,5
2000;HES;73,0625;73,0625;1628000;582000;582271,3333;0;0;2127000;766000;766354,5
2001;HES;62,5;62,5;1620000;665000;665270;0;0;2881000;955000;955480,1667
2002;HES;55,05;55,05;1456000;555000;555242,6667;0;0;2477000;782000;782412,8333
2003;HES;53,17;53,17;1448000;465000;465241,3333;0;0;2332000;646000;646388,6667
2004;HES;82,38;82,38;1259000;436000;436209,8333;0;0;2400000;646000;646400
2005;HES;126,82;126,82;1306000;421000;421217,6667;2406000;692;2406000;692000;692401
2006;HES;49,57;49,57;1297000;426000;426216,1667;2466000;832;2466000;832000;832411
2007;HES;100,86;100,86;1372000;518000;518228,6667;2668000;885;2668000;885000;885444,6667
2008;HES;53,64;53,64;1431000;571000;571238,5;0;0;2773000;970000;970462,1667
2009;HES;60,5;60,5;1545000;593000;593257,5;0;0;2821000;967000;967470,1667
2010;HES;76,54;76,54;1315000;627000;627219,1667;0;0;2598000;1104000;1104433
2011;HES;56,8;56,8;1212000;621000;621202;0;0;2423000;1169000;1169403,833
2012;HES;52,96;52,96;1220000;676000;676203,3333;0;0;2295000;1171000;1171382,5
2013;HES;83;83;1110000;606000;606185;0;0;1975000;1108000;1108329,167
2014;HES;73,82;73,82;919000;609000;609153,1667;0;0;1881000;1117000;1117313,5
2015;HES;48,48;48,48;1271000;583000;583211,8333;0;0;1554000;827000;827259
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1985;APA;10,875;10,875;;;;;;;;
1986;APA;9;9;;;;;;;;
1987;APA;7,5;7,5;;;;;;;;
1988;APA;7,875;7,875;;;;;;;;
1989;APA;18,375;18,375;;;;;;;;
1990;APA;14,625;14,625;;;;;;;;
1991;APA;15,875;15,875;;;;;;;;
1992;APA;18,75;18,75;;;;;;;;
1993;APA;23,375;23,375;;;;;;;;
1994;APA;25;25;;;;;;;;
1995;APA;29,5;29,5;;;;;;;;
1996;APA;35,125;35,125;;;;;;;;
1997;APA;35,062;35,062;;;;;;;;
1998;APA;25,3125;25,3125;;;;;;;;
1999;APA;36,9375;36,9375;1873747;301969;302281,2912;239484000;33223;2351578;415242;415633,9297
2000;APA;70,0625;70,0625;2664794;353997;354441,1323;303980000;41920;3383670;522473;523036,945
2001;APA;49,88;49,88;3203817;411782;412315,9695;411455000;53764;4005331;599388;600055,5552
2002;APA;56,99;56,99;3206533;414375;414909,4222;394341000;55837;4054636;636765;637440,7727
2003;APA;81,1;81,1;3540973;593689;594279,1622;444262000;74968;4875968;843888;844700,6613
2004;APA;50,57;50,57;3844059;662650;663290,6765;452049000;84736;6027929;932040;933044,6548
2005;APA;68,52;68,52;4775890;676690;677485,9817;461297000;85434;6848022;975910;977051,337
2006;APA;66,51;66,51;5125547;728464;729318,2578;580008000;81971;7512919;1061041;1062293,153
